,Cluster Label,Pallets,Courier Cost (Current),in-house trucks cost (Model),Pallets delivered by in-house trucks (Model),Courier Cost per Pallet (Current),Remaining Pallets (Model),Courier Cost Remaining Pallets (Model),Partial Replacement Model Total Cost,"Pallets delivered by in-house trucks, % total",cost saving £,cost saving %
0,0,199.31015149588887,9456.296666666667,4450.0,89.591754274,47.44513310382848,109.71839722188888,5205.603960131243,9655.603960131244,44.95092377462168,-199.30729346457701,-2.1076675202791897
1,1,879.2955545733333,37954.76666666667,5400.0,423.152230512,43.164970491729285,456.1433240613333,19689.413123106762,25089.413123106762,48.12400430220861,12865.353543559908,33.89654231456191
2,2,642.424033299889,30323.883333333335,5400.0,398.92257554599996,47.20228659188081,243.50145775388899,11493.825594439824,16893.825594439826,62.096458860183944,13430.057738893509,44.28871326031849
3,3,472.2977531604444,19891.88666666667,4450.0,206.837085246,42.1172587283285,265.46066791444446,11180.47563274755,15630.47563274755,43.793789799320784,4261.411033919119,21.422860009855533
4,4,371.3851532771111,15854.018888888888,4450.0,197.343371918,42.68888712699649,174.0417813591111,7429.6499598204955,11879.649959820495,53.137119288866984,3974.3689290683924,25.068526516350907
