Cluster Label,27/03/2023 00:00,28/03/2023 00:00,29/03/2023 00:00,30/03/2023 00:00,31/03/2023 00:00,03/04/2023 00:00,04/04/2023 00:00,05/04/2023 00:00,06/04/2023 00:00,11/04/2023 00:00,12/04/2023 00:00,13/04/2023 00:00,14/04/2023 00:00,17/04/2023 00:00,18/04/2023 00:00,19/04/2023 00:00,20/04/2023 00:00,21/04/2023 00:00,Average_Pallets_Day,Minimum_Pallets_Day,3.5-tonne Van (2),7.5-tonne LGV (14),18-tonne HGV (24),3.5_tonne_standing_costs,7.5_tonne_standing_costs,18_tonne_standing_costs,3.5_tonne_running_costs,7.5_tonne_running_costs,18_tonne_running_costs,Total_costs_month,Fleet Pallet Capacity
0,4.626825397,5.520839646,14,4.072352466,8.57920382,8.750305649,11.92688168,14,9.632256047,6.564483165,6.806422013,10.28935583,10.94824343,5.453371003,8.497022399,14,7.252377626,7.704177515,8.812450983,4.072352466,0,1,0,0,1250,0,0,3200,0,4450,14
1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19.2341923,24,23.73523291,19.2341923,0,0,1,0,0,1800,0,0,3600,5400,24
2,24,24,24,20.63808031,24,24,24,24,22.69417737,24,24,24,18.13284434,24,22.92058055,24,24,21.30710119,23.20515465,18.13284434,0,0,1,0,0,1800,0,0,3600,5400,24
3,11.5281997,12.98531556,14,14,9.401685694,14,14,14,14,14,14,14,12.43036733,14,14,14,14,14,13.46364268,9.401685694,0,1,0,0,1250,0,0,3200,0,4450,14
4,14,14,14,14,14,14,10.3357416,11.65037159,10.63461549,14,14,13.85699395,14,14,14,14,8.970153268,14,13.19154866,8.970153268,0,1,0,0,1250,0,0,3200,0,4450,14
